Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
26,LANraragi,2434,172,2434,85,2014-07-31T13:29:27Z,2025-03-27T19:50:08Z,78766,Web application for archival and reading of manga/doujinshi. Lightweight and Docker-ready for NAS/servers.,Perl,https://github.com/Difegue/LANraragi
27,ABTestingGateway,2356,767,2356,75,2015-07-19T09:50:13Z,2018-10-14T07:05:17Z,13032,,Perl,https://github.com/CNSRE/ABTestingGateway
28,Th3inspector,2331,492,2331,13,2018-02-17T03:55:01Z,2023-10-08T21:44:04Z,367,Th3Inspector 🕵️ Best Tool For Information Gathering 🔎,Perl,https://github.com/Moham3dRiahi/Th3inspector
29,get_iplayer,2253,231,2253,6,2011-03-11T21:26:04Z,2024-07-30T20:54:49Z,5462,A utility for downloading TV and radio programmes from BBC iPlayer and BBC Sounds,Perl,https://github.com/get-iplayer/get_iplayer
30,afterglow-theme,2109,138,2109,50,2014-04-09T19:35:32Z,2023-07-11T07:34:23Z,8764,[DEPRECATED] A minimal dark Theme for Sublime Text 2 and 3,Perl,https://github.com/YabataDesign/afterglow-theme
31,everything-curl,2101,314,2101,12,2015-09-24T21:53:45Z,2025-02-28T10:21:03Z,7430,"The book documenting the curl project, the curl tool, libcurl and more. Simply put: everything curl.",Perl,https://github.com/curl/everything-curl
32,perl5,2059,568,2059,2344,2013-02-13T17:10:40Z,2025-03-26T19:40:59Z,352355,🐪 The Perl programming language,Perl,https://github.com/Perl/perl5
33,munin,2046,469,2046,208,2012-05-31T18:51:44Z,2025-03-11T16:22:25Z,19998,Main repository for munin master / node / plugins,Perl,https://github.com/munin-monitoring/munin
34,nipe,2020,320,2020,19,2015-09-07T18:47:10Z,2025-03-05T12:16:24Z,315,An engine to make Tor network your default gateway,Perl,https://github.com/htrgouvea/nipe
35,ua-parser,1972,497,1972,0,2010-09-15T14:09:21Z,2016-12-26T21:13:22Z,5052,A multi-language port of Browserscope's user agent parser.,Perl,https://github.com/tobie/ua-parser
36,slipstream,1920,212,1920,5,2020-10-31T21:39:26Z,2023-01-14T21:39:03Z,3884,"NAT Slipstreaming allows an attacker to remotely access any TCP/UDP services bound to a victim machine, bypassing the victim’s NAT/firewall, just by anyone on the victim's network visiting a website",Perl,https://github.com/samyk/slipstream
37,linux-exploit-suggester-2,1896,303,1896,1,2016-07-25T22:28:31Z,2023-01-28T05:01:23Z,32,Next-Generation Linux Kernel Exploit Suggester,Perl,https://github.com/jondonas/linux-exploit-suggester-2
38,btrbk,1808,127,1808,237,2015-02-10T14:41:47Z,2023-12-03T15:31:49Z,2511,Tool for creating snapshots and remote backups of btrfs subvolumes,Perl,https://github.com/digint/btrbk
39,duckduckgo,1791,239,1791,0,2011-01-18T16:30:51Z,2022-10-14T17:37:48Z,1083,DuckDuckGo Instant Answer Infrastructure,Perl,https://github.com/duckduckgo/duckduckgo
40,Linux_Exploit_Suggester,1784,408,1784,4,2013-08-26T16:31:12Z,2014-05-19T06:23:20Z,238,Linux Exploit Suggester; based on operating system release number ,Perl,https://github.com/InteliSecureLabs/Linux_Exploit_Suggester
41,Mojo-Webqq,1725,319,1725,13,2015-05-28T06:49:12Z,2019-04-10T06:21:40Z,5586,【重要通知：WebQQ将在2019年1月1日停止服务，此项目目前已停止维护，感谢大家四年来的一路陪伴】使用Perl语言（不会没关系）编写的smartqq/webqq客户端框架（非GUI），可通过插件提供基于HTTP协议的api接口供其他语言或系统调用,Perl,https://github.com/hexsum/Mojo-Webqq
42,dvcs-ripper,1721,312,1721,11,2012-10-23T04:55:18Z,2024-07-19T12:49:07Z,48,Rip web accessible (distributed) version control systems: SVN/GIT/HG...,Perl,https://github.com/kost/dvcs-ripper
43,openresty-systemtap-toolkit,1665,352,1665,28,2012-08-30T23:06:22Z,2023-03-14T04:01:02Z,345,"Real-time analysis and diagnostics tools for OpenResty (including NGINX, LuaJIT, ngx_lua, and more) based on SystemTap",Perl,https://github.com/openresty/openresty-systemtap-toolkit
44,ModSecurity-nginx,1639,290,1639,42,2015-06-23T16:48:05Z,2025-03-21T12:23:27Z,1364,ModSecurity v3 Nginx Connector,Perl,https://github.com/owasp-modsecurity/ModSecurity-nginx
45,XAttacker,1610,471,1610,31,2017-11-07T10:59:49Z,2023-10-08T21:45:25Z,214,X Attacker Tool ☣ Website Vulnerability Scanner & Auto Exploiter,Perl,https://github.com/Moham3dRiahi/XAttacker
46,ggplot2-book,1604,691,1604,55,2008-05-19T13:38:18Z,2025-03-12T05:25:29Z,51449,ggplot2: elegant graphics for data analysis,Perl,https://github.com/hadley/ggplot2-book
47,the-bastion,1591,94,1591,35,2020-10-14T13:44:42Z,2025-03-25T08:14:09Z,6465,"Authentication, authorization, traceability and auditability for SSH accesses.",Perl,https://github.com/ovh/the-bastion
48,SmokePing,1504,187,1504,6,2011-10-05T05:18:20Z,2025-02-19T13:45:54Z,2840,The Active Monitoring System,Perl,https://github.com/oetiker/SmokePing
49,mha4mysql-manager,1492,502,1492,73,2011-07-23T13:59:37Z,2020-08-14T16:15:37Z,377,"Development tree of Master High Availability Manager and tools for MySQL (MHA), Manager part",Perl,https://github.com/yoshinorim/mha4mysql-manager
50,ack2,1471,138,1471,9,2011-01-29T07:12:50Z,2019-03-19T14:41:58Z,2516,**ack 2 is no longer being maintained.  ack 3 is the latest version.**,Perl,https://github.com/beyondgrep/ack2
51,ATSCAN,1460,354,1460,6,2015-10-04T16:18:04Z,2024-08-10T19:25:05Z,3586,Advanced dork Search & Mass Exploit Scanner,Perl,https://github.com/AlisamTechnology/ATSCAN
52,packetfence,1449,298,1449,753,2012-03-01T20:21:13Z,2025-03-27T17:49:46Z,385742,"PacketFence is a fully supported, trusted, Free and Open Source network access control (NAC) solution. Boasting an impressive feature set including a captive-portal for registration and remediation, centralized wired and wireless management, powerful BYOD management options, 802.1X support, layer-2 isolation of problematic devices; PacketFence can be used to effectively secure networks small to very large heterogeneous networks.",Perl,https://github.com/inverse-inc/packetfence
53,checkinpanel,1428,349,1428,35,2021-08-22T05:01:36Z,2023-08-11T03:21:58Z,1446,一个主要运行在 𝐞𝐥𝐞𝐜𝐕𝟐𝐏 或 𝐪𝐢𝐧𝐠𝐥𝐨𝐧𝐠 等定时面板，同时支持系统运行环境的签到项目（环境：𝑷𝒚𝒕𝒉𝒐𝒏 3.8+ / 𝑵𝒐𝒅𝒆.𝒋𝒔 10+ / 𝑩𝒂𝒔𝒉 4+ / 𝑶𝒑𝒆𝒏𝑱𝑫𝑲8 / 𝑷𝒆𝒓𝒍5）,Perl,https://github.com/OreosLab/checkinpanel
54,backuppc,1418,190,1418,179,2013-03-28T15:07:07Z,2024-07-26T12:23:29Z,5615,"BackupPC is a high-performance, enterprise-grade system for backing up to a server's disk.",Perl,https://github.com/backuppc/backuppc
55,slimserver,1346,315,1346,96,2012-05-08T10:22:04Z,2025-03-26T17:48:09Z,897040,Server for Squeezebox and compatible players. This server is also called Lyrion Music Server.,Perl,https://github.com/LMS-Community/slimserver
56,openkore,1312,1050,1312,122,2016-02-28T14:35:23Z,2025-03-26T15:10:09Z,249277,A free/open source client and automation tool for Ragnarok Online,Perl,https://github.com/OpenKore/openkore
57,evilgrade,1307,283,1307,11,2013-04-22T16:08:48Z,2021-09-01T17:08:27Z,8071,Evilgrade is a modular framework that allows the user to take advantage of poor upgrade implementations by injecting fake updates.,Perl,https://github.com/infobyte/evilgrade
58,lua-resty-waf,1285,305,1285,35,2014-11-04T06:49:41Z,2024-01-31T14:54:02Z,1445,High-performance WAF built on the OpenResty stack,Perl,https://github.com/p0pr0ck5/lua-resty-waf
59,Betty,1274,1762,1274,29,2016-07-08T17:56:09Z,2023-12-01T22:30:11Z,588,Holberton-style C code checker written in Perl,Perl,https://github.com/alx-tools/Betty
60,hydra,1259,316,1259,401,2011-10-29T02:06:57Z,2025-03-28T03:18:40Z,16439,"Hydra, the Nix-based continuous build system",Perl,https://github.com/NixOS/hydra
61,percona-toolkit,1252,339,1252,23,2013-05-07T02:43:24Z,2025-03-27T18:45:54Z,111337,Percona Toolkit: a collection of advanced open source command-line tools.,Perl,https://github.com/percona/percona-toolkit
62,enum4linux,1242,241,1242,7,2015-07-31T21:06:03Z,2024-10-11T14:41:57Z,114,enum4Linux is a Linux alternative to enum.exe for enumerating data from Windows and Samba hosts,Perl,https://github.com/CiscoCXSecurity/enum4linux
63,Mojo-Weixin,1242,255,1242,19,2016-01-14T08:18:48Z,2023-09-19T02:36:05Z,2062,使用Perl语言（不会没关系）编写的个人账号微信/weixin/wechat客户端框架（非GUI），可通过插件提供基于HTTP协议的api接口供其他语言或系统调用,Perl,https://github.com/hexsum/Mojo-Weixin
64,pixload,1229,244,1229,8,2019-09-15T00:41:32Z,2023-11-30T05:14:13Z,118,Image Payload Creating/Injecting tools,Perl,https://github.com/sighook/pixload
65,youtube-viewer,1224,88,1224,43,2011-02-12T17:33:58Z,2025-03-22T05:34:17Z,3733,Lightweight YouTube client for Linux,Perl,https://github.com/trizen/youtube-viewer
66,inxi,1223,89,1223,15,2015-08-20T22:24:50Z,2024-01-12T20:05:01Z,9794,"inxi is a full featured CLI system information tool. It is available in most Linux distribution repositories, and does its best to support the BSDs. ",Perl,https://github.com/smxi/inxi
67,rainbarf,1182,65,1182,2,2013-01-30T12:28:15Z,2022-06-03T18:10:40Z,160,"it's like Rainmeter, but for CLI!",Perl,https://github.com/creaktive/rainbarf
68,fwknop,1164,234,1164,112,2011-06-13T05:12:31Z,2024-09-22T18:27:55Z,15527,Single Packet Authorization > Port Knocking,Perl,https://github.com/mrash/fwknop
69,Golang-Regex-Tutorial,1150,142,1150,1,2012-09-08T20:18:48Z,2023-02-01T13:54:32Z,107,Golang - Regular Expression Tutorial,Perl,https://github.com/StefanSchroeder/Golang-Regex-Tutorial
70,Monitorix,1145,169,1145,42,2012-10-22T13:41:51Z,2024-11-27T10:19:57Z,4389,"Monitorix is a free, open source, lightweight system monitoring tool.",Perl,https://github.com/mikaku/Monitorix
71,git-cal,1115,61,1115,17,2013-09-22T12:13:19Z,2017-02-01T04:38:36Z,518,github like contributions calendar on terminal,Perl,https://github.com/k4rthik/git-cal
72,speedread,1115,96,1115,12,2014-03-02T18:07:32Z,2024-06-11T11:54:31Z,565,A simple terminal-based open source Spritz-alike (per-word RSVP aligned on optimal reading points),Perl,https://github.com/pasky/speedread
73,thinkpad-ec,1087,114,1087,94,2016-04-23T03:45:59Z,2025-02-11T03:08:06Z,803,Infrastructure for examining and patching Thinkpad embedded controller firmware,Perl,https://github.com/hamishcoleman/thinkpad-ec
74,sortphotos,1085,315,1085,60,2013-03-06T05:37:48Z,2023-03-28T02:26:39Z,5466,SortPhotos is a Python script that organizes photos and videos into folders using date/time information,Perl,https://github.com/andrewning/sortphotos
75,AirChat,1084,149,1084,18,2014-04-23T14:44:22Z,2021-12-09T11:29:50Z,919,Free Communications For Everyone.,Perl,https://github.com/lulzlabs/AirChat
76,ora2pg,1073,350,1073,73,2012-03-12T14:27:27Z,2025-03-18T14:48:53Z,14787,"Ora2Pg is a free tool used to migrate an Oracle database to a PostgreSQL compatible schema. It connects your Oracle database, scan it automatically and extracts its structure or data, it then generates SQL scripts that you can load into PostgreSQL.",Perl,https://github.com/darold/ora2pg
77,convos,1071,87,1071,33,2013-11-30T14:57:15Z,2025-03-25T15:29:51Z,53289, Convos :busts_in_silhouette: is the simplest way to use IRC in your browser,Perl,https://github.com/convos-chat/convos
78,MultiMarkdown,1069,526,1069,5,2009-06-20T14:33:03Z,2023-08-12T11:08:05Z,1973,Expanded perl version of John Gruber's original Markdown --- No longer under active development since MMD 3,Perl,https://github.com/fletcher/MultiMarkdown
79,nodebrew,1061,66,1061,18,2011-11-15T00:58:14Z,2022-03-19T04:27:49Z,222,Node.js version manager,Perl,https://github.com/hokaccha/nodebrew
80,contrib,1047,682,1047,57,2011-07-12T10:12:34Z,2025-03-22T08:40:32Z,15160,"Contributed stuff for munin (plugins, tools, etc...)",Perl,https://github.com/munin-monitoring/contrib
81,LaTeXML,1045,109,1045,269,2013-10-22T05:38:14Z,2025-03-27T23:12:17Z,61692,LaTeXML: a TeX and LaTeX to XML/HTML/ePub/MathML translator.,Perl,https://github.com/brucemiller/LaTeXML
82,vanilla,1044,215,1044,3,2015-08-12T14:57:47Z,2019-01-09T05:09:42Z,1906,An OpenResty Lua MVC Web Framework,Perl,https://github.com/idevz/vanilla
83,dotdotpwn,1036,180,1036,2,2012-02-10T01:28:05Z,2022-09-28T02:51:18Z,88,DotDotPwn - The Directory Traversal Fuzzer,Perl,https://github.com/wireghoul/dotdotpwn
84,xcode_shell,1034,398,1034,1,2012-09-24T06:17:45Z,2019-09-07T22:35:37Z,61,shell script that used to auto-build xcode project,Perl,https://github.com/webfrogs/xcode_shell
85,swaks,1031,89,1031,44,2017-02-16T01:29:57Z,2024-03-05T20:16:42Z,3253,Swaks - Swiss Army Knife for SMTP,Perl,https://github.com/jetmore/swaks
86,broadcom-bt-firmware,1025,143,1025,15,2016-07-28T18:41:29Z,2024-02-15T13:34:42Z,1030,Repository for various Broadcom Bluetooth firmware,Perl,https://github.com/winterheart/broadcom-bt-firmware
87,asbru-cm,1012,137,1012,110,2017-08-23T11:45:26Z,2024-12-20T19:44:52Z,9893,Ásbrú Connection Manager is a user interface that helps organizing remote terminal sessions and automating repetitive tasks.,Perl,https://github.com/asbru-cm/asbru-cm
88,rt,1003,265,1003,106,2009-07-07T19:57:15Z,2025-03-28T14:50:15Z,189218,"Request Tracker, an enterprise-grade issue tracking system",Perl,https://github.com/bestpractical/rt
89,zeroclickinfo-goodies,984,1755,984,0,2011-08-06T13:26:05Z,2022-10-14T17:08:10Z,22672,DuckDuckGo Instant Answers based on Perl & JavaScript,Perl,https://github.com/duckduckgo/zeroclickinfo-goodies
90,sysadmin-util,969,114,969,0,2013-04-14T14:02:12Z,2020-03-30T06:57:46Z,112,Tools for Linux/Unix sysadmins.,Perl,https://github.com/skx/sysadmin-util
91,lm-sensors,964,275,964,282,2011-12-20T22:29:46Z,2024-06-01T14:05:14Z,20517,lm-sensors repository,Perl,https://github.com/lm-sensors/lm-sensors
92,lcov,960,241,960,12,2014-05-27T14:38:58Z,2025-03-28T14:14:15Z,3043,LCOV,Perl,https://github.com/linux-test-project/lcov
93,authentic-theme,950,162,950,6,2014-09-22T08:31:44Z,2025-03-24T18:42:26Z,418777,Official theme for the best server management panel of the 21st Century,Perl,https://github.com/webmin/authentic-theme
94,gdown.pl,941,195,941,5,2014-09-22T19:47:42Z,2023-05-12T22:49:54Z,38,Google Drive direct download of big files,Perl,https://github.com/circulosmeos/gdown.pl
95,clusterssh,933,77,933,37,2009-08-11T15:37:53Z,2024-10-19T11:59:27Z,1834,Cluster SSH - Cluster Admin Via SSH,Perl,https://github.com/duncs/clusterssh
96,st,930,69,930,12,2013-09-02T18:29:52Z,2023-05-25T09:32:57Z,69,simple statistics from the command line,Perl,https://github.com/nferraz/st
97,gitprep,923,118,923,12,2012-11-23T04:32:46Z,2025-01-07T07:12:24Z,5433,Portable GitHub system into your own server,Perl,https://github.com/yuki-kimoto/gitprep
98,asciiquarium,908,80,908,17,2011-12-14T17:14:36Z,2023-08-25T12:22:59Z,108,Enjoy the mysteries of the sea from the safety of your own terminal!,Perl,https://github.com/cmatsuoka/asciiquarium
99,musicbrainz-server,886,290,886,82,2010-06-01T16:30:04Z,2025-03-28T10:42:58Z,267656,"Server for the MusicBrainz project (website, API, database tools)",Perl,https://github.com/metabrainz/musicbrainz-server
100,prokka,882,227,882,258,2014-03-26T07:19:23Z,2024-04-10T08:23:37Z,329767,:zap: :aquarius: Rapid prokaryotic genome annotation,Perl,https://github.com/tseemann/prokka
101,altium2kicad,881,156,881,76,2014-10-06T21:18:37Z,2023-06-04T00:38:20Z,9622,Altium to KiCad converter for PCB and schematics,Perl,https://github.com/thesourcerer8/altium2kicad
102,vmware-scripts,877,493,877,54,2013-11-22T00:04:47Z,2025-03-26T21:57:05Z,1806,Various scripts for VMware based solutions,Perl,https://github.com/lamw/vmware-scripts
103,otrs,858,451,858,0,2014-01-27T10:44:13Z,2021-01-14T08:23:31Z,557689,"((OTRS)) Community Edition is one of the most flexible web-based ticketing systems used for Customer Service, Help Desk, IT Service Management. Please note that ((OTRS)) Community Edition offers limited OTRS functionality.",Perl,https://github.com/OTRS/otrs
104,XcodeCoverage,858,314,858,1,2012-11-29T05:37:31Z,2022-10-14T01:39:12Z,539,Code coverage for Xcode projects (Objective-C only),Perl,https://github.com/jonreid/XcodeCoverage
105,trinityrnaseq,852,320,852,304,2014-08-07T21:22:53Z,2025-02-07T14:46:40Z,283391,Trinity RNA-Seq de novo transcriptome assembly,Perl,https://github.com/trinityrnaseq/trinityrnaseq
106,defects4j,812,324,812,52,2015-04-17T09:15:18Z,2025-01-07T17:43:32Z,146134,A Database of Real Faults and an Experimental Infrastructure to Enable Controlled Experiments in Software Engineering Research,Perl,https://github.com/rjust/defects4j
107,git-deploy,808,59,808,20,2011-11-07T13:43:45Z,2017-06-24T07:44:41Z,738,Tool to manage using git as a deployment management tool,Perl,https://github.com/git-deploy/git-deploy
108,halflife-list,807,85,807,0,2021-06-10T03:11:01Z,2025-03-24T00:05:14Z,95238,ABP/ublock 广告过滤规则（每周一早上9点更新）,Perl,https://github.com/sbwml/halflife-list
109,dotphiles,804,391,804,4,2012-06-21T11:23:51Z,2023-05-07T02:37:43Z,4568,A community driven framework of dotfiles.,Perl,https://github.com/dotphiles/dotphiles
110,trizen,802,41,802,53,2011-02-17T21:49:16Z,2024-08-10T16:36:00Z,844,Lightweight AUR Package Manager,Perl,https://github.com/trizen/trizen
111,ack1,800,95,800,0,2009-03-01T05:16:52Z,2013-08-30T16:08:03Z,2474,"This repository is for ack 1.x, which is **no longer being maintained**.  DO NOT SUBMIT ISSUES HERE.  ack 2.0 has a new GitHub project at",Perl,https://github.com/beyondgrep/ack1
112,dejavu-fonts,789,97,789,56,2015-05-17T20:03:19Z,2024-05-15T14:19:24Z,340651,,Perl,https://github.com/dejavu-fonts/dejavu-fonts
113,hw-probe,784,68,784,60,2015-11-29T17:34:57Z,2025-01-11T17:54:12Z,1605,"Probe for hardware, check operability and find drivers",Perl,https://github.com/linuxhw/hw-probe
114,innotop,782,120,782,31,2014-10-17T07:48:27Z,2024-11-25T12:19:09Z,1558,A realtime terminal-based top-like monitor for MySQL,Perl,https://github.com/innotop/innotop
115,IoTSeeker,771,233,771,4,2016-10-31T15:09:57Z,2025-02-13T19:54:14Z,15,Created by Jin Qian via the GitHub Connector,Perl,https://github.com/rapid7/IoTSeeker
116,PadBuster,768,224,768,8,2011-04-11T19:37:45Z,2024-07-13T19:27:03Z,18,Automated script for performing Padding Oracle attacks,Perl,https://github.com/AonCyberLabs/PadBuster
117,cpanminus,763,214,763,138,2010-02-19T09:26:20Z,2025-01-24T20:12:41Z,5712,"cpanminus - get, unpack, build and install modules from CPAN ",Perl,https://github.com/miyagawa/cpanminus
118,bucardo,762,103,762,47,2009-05-08T18:37:13Z,2025-01-02T15:21:05Z,9406,Bucardo multimaster and master/slave Postgres replication,Perl,https://github.com/bucardo/bucardo
119,urxvt-perls,753,109,753,7,2010-08-02T05:06:41Z,2020-07-19T22:00:35Z,97,Perl extensions for the rxvt-unicode terminal emulator,Perl,https://github.com/xyb3rt/urxvt-perls
120,ack3,743,67,743,148,2017-03-03T15:28:03Z,2025-02-06T05:42:23Z,3528,ack is a grep-like search tool optimized for source code.,Perl,https://github.com/beyondgrep/ack3
121,Dancer,735,208,735,85,2009-07-18T09:17:12Z,2023-06-18T20:05:47Z,6978,The easiest way to write web applications with Perl (Perl web micro-framework),Perl,https://github.com/PerlDancer/Dancer
122,stow,735,44,735,37,2011-11-09T22:41:36Z,2025-01-21T13:44:00Z,1186,GNU Stow - mirror of savannah git repository occasionally with more bleeding-edge branches,Perl,https://github.com/aspiers/stow
123,opencv-haar-classifier-training,734,469,734,10,2013-07-12T07:22:38Z,2020-01-06T03:23:29Z,38,Learn how to train your own OpenCV Haar classifier,Perl,https://github.com/mrnugget/opencv-haar-classifier-training
124,zsh-autoenv,724,30,724,8,2013-09-08T15:03:04Z,2024-06-21T13:59:25Z,181,Autoenv for zsh,Perl,https://github.com/Tarrasch/zsh-autoenv
125,App-perlbrew,723,220,723,191,2010-02-27T08:30:09Z,2025-02-12T15:26:22Z,4358,Manage perl installations in your $HOME,Perl,https://github.com/gugod/App-perlbrew
126,Rex,721,223,721,213,2010-11-05T11:52:19Z,2025-02-28T09:09:49Z,8987,"Rex, the friendly automation framework",Perl,https://github.com/RexOps/Rex
127,bugzilla,719,291,719,32,2014-03-12T14:49:38Z,2024-10-09T21:19:42Z,74973,Official repository for the Bugzilla bug tracking system. Report bugs to https://bugzilla.mozilla.org/enter_bug.cgi?product=Bugzilla&format=__default__ . Main website:,Perl,https://github.com/bugzilla/bugzilla
128,feedgnuplot,717,37,717,4,2009-12-20T03:19:08Z,2024-02-20T05:38:59Z,1452,"Tool to plot realtime and stored data from the commandline, using gnuplot.",Perl,https://github.com/dkogan/feedgnuplot
129,vyatta-wireguard,704,37,704,45,2017-04-19T14:04:18Z,2020-05-04T08:34:49Z,10399,,Perl,https://github.com/Lochnair/vyatta-wireguard
130,dotfiles,702,92,702,0,2009-12-02T11:56:55Z,2025-03-27T20:26:35Z,23937,":floppy_disk:  Ian's dotfiles, utils, and Zsh/Vim/tmux configs",Perl,https://github.com/statico/dotfiles
131,netdisco,701,81,701,64,2017-01-04T16:07:45Z,2025-03-20T20:17:35Z,10676,A web-based network management tool.,Perl,https://github.com/netdisco/netdisco
132,ctf-tools,701,421,701,3,2015-10-13T03:54:31Z,2021-02-05T12:29:19Z,220980,tổng hợp tool ctf,Perl,https://github.com/truongkma/ctf-tools
133,stapxx,701,203,701,21,2013-08-09T19:42:39Z,2022-05-09T03:19:23Z,327,Simple macro language extentions to systemtap,Perl,https://github.com/openresty/stapxx
134,mlf,688,245,688,3,2014-01-13T04:06:43Z,2015-12-13T14:15:36Z,5450,大数据机器学习框架,Perl,https://github.com/huichen/mlf
135,awesome-perl,688,102,688,5,2014-07-13T14:07:10Z,2024-08-07T13:32:26Z,159,A curated list of awesome Perl frameworks and libraries. Come on Pull Requests!,Perl,https://github.com/hachiojipm/awesome-perl
136,engintron,669,174,669,69,2014-04-16T12:41:55Z,2024-12-06T01:17:21Z,1183,"Engintron for cPanel/WHM is the easiest way to integrate Nginx on your cPanel/WHM server. Engintron will improve the performance & web serving capacity of your server, while reducing CPU/RAM load at the same time, by installing & configuring the popular Nginx webserver to act as a reverse caching proxy in front of Apache.",Perl,https://github.com/engintron/engintron
