Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
886,FileX,479,125,479,4,26/01/2020,23/05/2022,1.10 MB,1122,Simple File Explorer made with Flutter(WIP),Dart,https://github.com/JideGuru/FileX
887,FlutterMinimalWebsite,478,184,478,2,22/02/2020,05/09/2024,8.47 MB,8675,A minimalistic Flutter website template for blogs and portfolios. Demo: https://gallery.codelessly.com/flutterwebsites/minimal/,Dart,https://github.com/Codelessly/FlutterMinimalWebsite
888,flutter_after_layout,478,38,478,0,27/04/2018,16/05/2022,29.00 KB,29,"Flutter After Layout - Brings functionality to execute code after the first layout of a widget has been performed, i.e. after the first frame has been displayed. Maintainer: @slightfoot",Dart,https://github.com/fluttercommunity/flutter_after_layout
889,design-patterns-in-dart,478,118,478,2,10/06/2019,05/02/2024,65.00 KB,65,Gang of Four (GOF) design patterns implemented in Dart. Contributions welcome!,Dart,https://github.com/scottt2/design-patterns-in-dart
890,dart-petitparser,478,49,478,7,27/05/2012,07/10/2025,2.31 MB,2370,Dynamic parser combinators in Dart.,Dart,https://github.com/petitparser/dart-petitparser
891,states_rebuilder,477,55,477,18,01/03/2019,20/02/2024,17.28 MB,17690,a simple yet powerful state management technique for Flutter,Dart,https://github.com/GIfatahTH/states_rebuilder
892,like_button,476,100,476,9,27/05/2019,19/05/2025,3.31 MB,3390,Like Button is a flutter library that allows you to create a button with animation effects similar to Twitter's heart when you like something and animation effects to increase like count.,Dart,https://github.com/fluttercandies/like_button
893,bili_novel_packer,476,12,476,6,20/02/2023,07/10/2025,3.84 MB,3934,轻小说打包器，采集哔哩轻小说网站(bilinovel.com linovelib.com)内容，打包成EPUB格式，支持封面、插图、目录，支持分卷合并。,Dart,https://github.com/Montaro2017/bili_novel_packer
894,flutter-custom-dialog,475,90,475,11,20/08/2019,21/02/2024,5.08 MB,5200,🚀🚀🚀 Semantic dialog,Dart,https://github.com/YYFlutter/flutter-custom-dialog
895,flutter_zoom_drawer,474,106,474,9,28/03/2020,08/04/2024,324.00 KB,324,A Flutter package with custom implementation of Drawer,Dart,https://github.com/medyas/flutter_zoom_drawer
896,flutter_advanced,474,65,474,1,31/12/2022,20/04/2025,57.62 MB,59000,"A collection of custom/advanced Flutter design, animations and UI ",Dart,https://github.com/cscoderr/flutter_advanced
897,Wallpaper_Engine,474,68,474,1,12/12/2020,20/07/2025,118.18 MB,121015,一个便捷的创意工坊下载器,Dart,https://github.com/user1121114685/Wallpaper_Engine
898,story_view,474,386,474,67,22/06/2019,28/06/2025,424.00 KB,424,Story view for apps with stories.,Dart,https://github.com/blackmann/story_view
899,flutter-starter,474,103,474,6,19/11/2020,24/06/2023,41.79 MB,42795,A Flutter starter-kit for production-level apps.,Dart,https://github.com/GeekyAnts/flutter-starter
900,video_editor,473,302,473,45,20/12/2020,12/04/2025,42.56 MB,43580,"A flutter package for editing video written in pure Dart with fully customizable UI. Supports crop, trim, rotation and cover selection.",Dart,https://github.com/LeGoffMael/video_editor
901,kt.dart,472,30,472,5,28/11/2018,23/03/2023,1.21 MB,1236,"A port of kotlin-stdlib for Dart/Flutter including immutable collections (KtList, KtMap, KtSet) and other packages",Dart,https://github.com/passsy/kt.dart
902,flash,472,79,472,14,02/08/2019,24/06/2024,18.83 MB,19278,"⚡️A highly customizable, powerful and easy-to-use alerting library for Flutter.",Dart,https://github.com/sososdk/flash
903,prisma-dart,471,33,471,30,04/06/2020,18/08/2025,178.28 MB,182558,Prisma Client Dart is an auto-generated type-safe ORM. It uses Prisma Engine as the data access layer and is as consistent as possible with the Prisma Client JS/TS APIs.,Dart,https://github.com/medz/prisma-dart
904,PullToRefresh,471,76,471,3,12/07/2018,09/06/2019,155.85 MB,159591,Flutter相关的项目QQ:277155832 Email:277155832@qq.com,Dart,https://github.com/OpenFlutter/PullToRefresh
905,SimplicityWeather,471,88,471,4,29/08/2020,23/11/2022,93.17 MB,95408,一款简约风格的 flutter 天气项目，提供实时、多日、24 小时、台风路径以及生活指数等服务，支持定位、删除、搜索等操作。,Dart,https://github.com/xiaweizi/SimplicityWeather
906,fluttery-todo,471,147,471,0,12/02/2019,16/03/2023,923.00 KB,923,A beautiful todo app made with Flutter,Dart,https://github.com/sabinbajracharya/fluttery-todo
907,jaguar,469,34,469,24,22/09/2016,08/09/2024,2.85 MB,2921,"Jaguar, a server framework built for speed, simplicity and extensible. ORM, Session, Authentication & Authorization, OAuth",Dart,https://github.com/Jaguar-dart/jaguar
908,shots-studio,469,22,469,30,17/05/2025,03/11/2025,32.05 MB,32815,AI Powered Screenshot manager for Android,Dart,https://github.com/AnsahMohammad/shots-studio
909,flutter_chatgpt,469,61,469,3,17/03/2023,10/02/2025,4.94 MB,5062,"Flutter ChatGPT APP. The chatgpt chat app implemented by flutter supports custom modes and contextual continuous dialogue. In addition, it supports admob advertisement configuration, accessing open screen advertisements, interstitial advertisements, Banner advertisements, etc.",Dart,https://github.com/thevvh/flutter_chatgpt
910,expression-ui,469,26,469,5,21/03/2024,20/03/2025,16.93 MB,17332,A framework that allows you to  build UI's using animation software,Dart,https://github.com/FilledStacks/expression-ui
911,GankFlutter,469,77,469,8,21/08/2018,26/05/2020,973.00 KB,973,干货集中营 客户端 flutter版,Dart,https://github.com/ZQ330093887/GankFlutter
912,niku,469,14,469,4,20/02/2021,22/12/2023,2.61 MB,2672,Compose Flutter UI from utilities Widget and extensions with dot cascade. Fluently developing without headache and Nested Hell.,Dart,https://github.com/SaltyAom/niku
913,form_bloc,468,217,468,108,06/08/2019,20/06/2024,57.17 MB,58545,"🔥 Dart and Flutter Package 🔥 Easy Form State Management using BLoC pattern 🔥 Wizard/stepper forms, asynchronous validation, dynamic and conditional fields, submission progress, serialization and more! 🔥",Dart,https://github.com/GiancarloCode/form_bloc
914,markdown,468,204,468,0,19/02/2013,01/02/2025,6.70 MB,6859,A Dart markdown library,Dart,https://github.com/dart-archive/markdown
915,flutter_ui_challenge_planets_app,467,122,467,1,30/11/2018,04/08/2022,39.38 MB,40329,A flutter ui challenge .... building a planets app,Dart,https://github.com/rvamsikrishna/flutter_ui_challenge_planets_app
916,Meditation-App,466,266,466,1,21/04/2020,19/09/2023,924.00 KB,924,,Dart,https://github.com/abuanwar072/Meditation-App
917,chicago,466,53,466,8,28/03/2021,28/09/2025,927.00 KB,927,The Chicago widget set for Flutter,Dart,https://github.com/zanderso/chicago
918,flutter_keyboard_visibility,465,232,465,43,02/07/2019,13/08/2024,431.00 KB,431,Get notified on keyboard visibility changes in your Flutter app,Dart,https://github.com/MisterJimson/flutter_keyboard_visibility
919,flutter-ddd-firebase-course,465,158,465,18,13/03/2020,05/09/2021,250.00 KB,250,https://resocoder.com/flutter-firebase-ddd-course,Dart,https://github.com/ResoCoder/flutter-ddd-firebase-course
920,unpub,463,150,463,42,06/04/2019,23/07/2024,1.41 MB,1443,Self-hosted private Dart Pub server for Enterprise,Dart,https://github.com/pd4d10/unpub
921,violet,463,45,463,48,16/06/2020,06/11/2025,409.36 MB,419188,Monorepo for Project Violet,Dart,https://github.com/project-violet/violet
922,formz,463,42,463,8,08/05/2020,22/09/2025,288.00 KB,288,A unified form representation in Dart used at Very Good Ventures 🦄,Dart,https://github.com/VeryGoodOpenSource/formz
923,flutter_flowermusic,463,119,463,3,06/05/2019,19/04/2020,3.49 MB,3573,使用flutter编写的音乐项目，服务器是使用nodejs+mongodb简单搭建的，主要功能包括登录、注册、修改密码、收藏、分享、评论、上传图片、富文本、音频播放、flutter与原生交互、手势、选择图片、上拉加载、下拉刷新等功能。功能较多、但是没有太多的业务逻辑，对于初学者来说很容易看明白。具体的功能和特点请参考demo,Dart,https://github.com/Darren-chenchen/flutter_flowermusic
924,ProxyCloud,463,56,463,24,10/08/2025,30/10/2025,99.69 MB,102082,"Proxy Cloud is an open-source VPN that’s fast, unlimited, secure, and completely free.",Dart,https://github.com/code3-dev/ProxyCloud
925,pathplanner,462,160,462,88,23/04/2018,07/07/2025,41.18 MB,42164,A simple yet powerful path planning tool for FRC robots,Dart,https://github.com/mjansen4857/pathplanner
926,flutter_flexible,462,96,462,1,03/10/2019,10/06/2025,1.32 MB,1356,flutter脚手架，让你更专注UI层,Dart,https://github.com/tec8297729/flutter_flexible
927,cool_ui,462,74,462,26,26/10/2018,05/01/2024,10.82 MB,11084,"用flutter实现一些我认为好看的UI控件,有Popover,仿Weui的Toast,自定义键盘",Dart,https://github.com/Im-Kevin/cool_ui
928,linkcheck,461,54,461,55,17/07/2016,11/06/2025,1.50 MB,1541,Fast link checker,Dart,https://github.com/filiph/linkcheck
929,flutter_dating_template,461,139,461,2,13/05/2022,14/09/2023,13.61 MB,13941,"flutter 版本的交友 app 模板，总计页面35个，测试数据基于 mockjs 创建（A dating app template for The Flutter version, with a total of 35 pages, was created based on MockJS.）",Dart,https://github.com/meetqy/flutter_dating_template
930,monarch,461,26,461,28,01/07/2020,14/07/2025,44.32 MB,45380,"Monarch is a tool for building Flutter widgets in isolation. It makes it easy to build, test and debug complex UIs.",Dart,https://github.com/Dropsource/monarch
931,Travel-App-UI-using-Flutter,461,121,461,4,09/09/2020,12/05/2023,934.00 KB,934,,Dart,https://github.com/abuanwar072/Travel-App-UI-using-Flutter
932,iris,461,22,461,15,21/11/2024,01/11/2025,15.44 MB,15812,A lightweight video player | 轻量级视频播放器,Dart,https://github.com/nini22P/iris
933,dart-samples,461,184,461,0,02/08/2012,03/06/2020,8.39 MB,8592,Various samples and examples in Dart,Dart,https://github.com/dart-archive/dart-samples
934,excel,460,332,460,135,18/02/2020,15/07/2025,667.00 KB,667,Excel Library for Flutter and Dart - https://pub.dev/packages/excel,Dart,https://github.com/justkawal/excel
935,vernet,460,46,460,25,05/06/2021,03/11/2025,24.24 MB,24823,Cross platform network analysis and monitoring tool ,Dart,https://github.com/osociety/vernet
936,flutter_layout_grid,459,43,459,23,12/11/2019,15/04/2025,1.40 MB,1431,"A grid-based layout system for Flutter, inspired by CSS Grid Layout",Dart,https://github.com/shyndman/flutter_layout_grid
937,deer,459,104,459,0,26/10/2018,11/11/2020,6.98 MB,7143,"Minimalist Flutter Todo App, built using BLoC pattern",Dart,https://github.com/aleksanderwozniak/deer
938,flutter_snaplist,457,52,457,15,18/10/2018,20/03/2021,99.00 KB,99,A small library for creating snapping lists.,Dart,https://github.com/ariedov/flutter_snaplist
939,mongo_dart,457,101,457,35,29/05/2012,18/10/2025,4.62 MB,4735,Mongo_dart: MongoDB driver for Dart programming language,Dart,https://github.com/mongo-dart/mongo_dart
940,widget_of_the_day,457,104,457,1,13/12/2021,21/09/2023,63.14 MB,64655,"Introduction to flutter widgets: This repo will teach you some of the common widgets that are available in flutter SDK, & how to use them for UI design.",Dart,https://github.com/md-siam/widget_of_the_day
941,flutter_confetti,457,80,457,31,05/09/2019,28/09/2024,1.35 MB,1384,A Flutter widget that shoots confetti all over the screen.,Dart,https://github.com/funwithflutter/flutter_confetti
942,archive,456,157,456,124,09/01/2014,16/06/2025,3.10 MB,3175,"Dart library to encode and decode various archive and compression formats, such as Zip, Tar, GZip, ZLib, and BZip2.",Dart,https://github.com/brendan-duncan/archive
943,sizzle_starter,453,46,453,22,16/09/2022,27/10/2025,32.22 MB,32993,A production-ready template for flutter applications.,Dart,https://github.com/hawkkiller/sizzle_starter
944,Flutter_Installer,453,46,453,14,09/07/2020,01/06/2024,3.49 MB,3569,Flutter Installer is an installer for Flutter built with Flutter 💙😎✌,Dart,https://github.com/YazeedAlKhalaf/Flutter_Installer
945,trayce_gui,452,7,452,0,06/01/2024,10/09/2025,4.86 MB,4981,,Dart,https://github.com/evanrolfe/trayce_gui
946,rohd,452,80,452,135,22/09/2021,06/11/2025,27.26 MB,27911,The Rapid Open Hardware Development (ROHD) framework is a framework for describing and verifying hardware in the Dart programming language.,Dart,https://github.com/intel/rohd
947,darkness_dungeon,452,98,452,1,03/11/2019,12/01/2025,235.16 MB,240803,Game RPG build by Flame Flutter,Dart,https://github.com/RafaelBarbosatec/darkness_dungeon
948,speech_to_text,452,286,452,63,02/10/2019,22/09/2025,1.32 MB,1348,A Flutter plugin that exposes device specific text to speech recognition capability. ,Dart,https://github.com/csdcorp/speech_to_text
949,neopop-flutter,451,55,451,7,01/06/2022,31/03/2024,636.00 KB,636,NeoPOP is CRED's inbuilt library for using NeoPOP components in your app,Dart,https://github.com/CRED-CLUB/neopop-flutter
950,bezier-chart,451,131,451,39,03/06/2019,17/01/2023,238.00 KB,238,A beautiful bezier line chart widget for flutter that is highly interactive and configurable.,Dart,https://github.com/aeyrium/bezier-chart
951,flutter-shopping-AiRi,450,109,450,1,17/05/2020,01/08/2024,62.86 MB,64371,"A shopping App developed based on Flutter, covering common features of shopping apps.",Dart,https://github.com/xieyezi/flutter-shopping-AiRi
952,Recipe-App---Flutter-UI,449,143,449,2,17/07/2020,04/08/2021,29.67 MB,30383,A nice clean recipe app UI using flutter.,Dart,https://github.com/abuanwar072/Recipe-App---Flutter-UI
953,flutter_getx_template,449,156,449,9,15/08/2021,11/01/2024,1.48 MB,1515,"A basic boilerplate template for starting a Flutter GetX project. GetX, Dio, MVVM, get CLI, Localization, Pagination etc are implemented.",Dart,https://github.com/hasancse91/flutter_getx_template
954,MyMovies,449,150,449,1,14/10/2018,29/02/2020,142.00 KB,142,A Flutter app which shows a list of popular movies.,Dart,https://github.com/SAGARSURI/MyMovies
955,talawa,449,526,449,54,19/02/2019,03/11/2025,46.96 MB,48088,Community Organization Management Software. Click on the link below to see our documentation.,Dart,https://github.com/PalisadoesFoundation/talawa
956,web3dart,448,280,448,59,13/01/2018,03/02/2022,505.00 KB,505,"Ethereum library, written in Dart.",Dart,https://github.com/simolus3/web3dart
957,flutter-musicplayer,447,137,447,7,29/05/2018,02/03/2020,14.79 MB,15141,A complete music player in flutter with cool UI and design.,Dart,https://github.com/amangautam1/flutter-musicplayer
958,flutter_eCommerce_ui_kit,446,142,446,2,07/09/2019,25/07/2023,10.18 MB,10429,Flutter - E Commerce UI KIT ( completely free for everyone ),Dart,https://github.com/Furqankhanzada/flutter_eCommerce_ui_kit
959,dash_chat,446,210,446,54,19/07/2019,24/08/2023,232.00 KB,232,The most complete Chat UI for flutter highly customizable and helps developing chat UI faster.,Dart,https://github.com/fayeed/dash_chat
960,graphview,446,137,446,17,10/08/2020,17/10/2025,4.43 MB,4536,"Flutter GraphView is used to display data in graph structures. It can display Tree layout, Directed and Layered graph. Useful for Family Tree, Hierarchy View.",Dart,https://github.com/nabil6391/graphview
961,ZhihuDailyPurifyByFlutter,446,93,446,4,15/06/2018,05/01/2019,1.60 MB,1640,做一个知乎日报的flutter版（用了mvp，但是个人不推荐)，官方app侧边栏拉取主题分类的接口不返回数据了。。,Dart,https://github.com/zhujian1989/ZhihuDailyPurifyByFlutter
962,Flutter-UI-Kit,446,89,446,0,11/11/2019,29/10/2022,47.73 MB,48879,A repository full of beautiful UI examples in Flutter ,Dart,https://github.com/usman18/Flutter-UI-Kit
963,nostr_console,445,32,445,9,10/07/2022,07/09/2025,16.08 MB,16463,"Nostr console is an open-source twitter-like social network, direct chat app and group chat all bundled into one program. Built on the decentralized Nostr protocol.",Dart,https://github.com/vishalxl/nostr_console
964,popup_menu,445,135,445,18,30/05/2019,24/09/2024,266.00 KB,266,🔥A flutter popup menu. Pub enabled.,Dart,https://github.com/chinabrant/popup_menu
965,flutter-fb-reactions-animation,443,64,443,2,20/06/2018,18/02/2024,4.40 MB,4507,The app to demo animation with Flutter by implement Facebook reactions,Dart,https://github.com/duytq94/flutter-fb-reactions-animation
966,xournalpp_mobile,443,30,443,0,14/08/2020,30/05/2021,5.14 MB,5263,Xournal++ Mobile is an unmaintained port of Xournal++ files and features to various mobile platofrms and the web. Mirror of the Xournal++ Mobile repository on GitLab. ,Dart,https://github.com/xournalpp/xournalpp_mobile
967,flutter-draggable-scrollbar,443,74,443,50,22/06/2018,21/05/2022,3.28 MB,3361,Draggable Scrollbar - A scrollbar that can be dragged for quickly navigation through a vertical list. Additional option is showing label next to scrollthumb with information about current item. Maintainer: @marica27,Dart,https://github.com/fluttercommunity/flutter-draggable-scrollbar
968,MusicPiped,442,59,442,62,02/10/2018,01/06/2022,10.75 MB,11007,A Materialistic Music player that streams music,Dart,https://github.com/deep-gaurav/MusicPiped
